"Title","M&A : Inward : Value of acquisitions - direct transactions : Annual : £m","Africa Outward Disposals Value :£m                                      ","M&A : Inward : Number of acquisitions - direct transactions : Annual    ","Africa Outward Disposals Number                                         ","M&A : Inward : Value of disposals : £m                                  ","M&A : Inward : Value of disposals in USA : Annual : £m                  ","M&A : Inward : Number of disposals in USA : Annual                      ","M&A : Inward : Value of disposals in EU : Annual : £m                   ","M&A : Inward : Number of disposals in EU : Annual                       ","M&A : Inward : Value of acquisitions : £m                               ","M&A : Inward : Value of acquisitions in USA : Annual : £m               ","M&A : Inward : Number of acquisitions in USA : Annual                   ","M&A : Inward : Value of acquisitions in EU : Annual : £m                ","M&A : Inward : Number of acquisitions in EU : Annual                    ","M&A : Outward : Value of disposals - indirect funded locally : Annual : £m","M&A : Outward : Number of disposals - indirect funded locally : Annual  ","M&A : Outward : Value of disposals - indirect funded in UK : Annual : £m","Australasia & Oceania Outward Disposals Number                          ","Australasia & Oceania Outward Acquisitions Value :£m                    ","Africa Inward Acquisitions Number                                       ","Australasia & Oceania Outward Disposals Value :£m                       ","Africa Inward Disposals Number                                          ","Africa Inward Acquisitions Value :£m                                    ","M&A : Domestic : Sales of subsidiaries between groups : Total payments : £m","M&A : Domestic : M&A of independents : Total payments : £m              ","M&A : Domestic : Value of ordinary shares : £m                          ","M&A : Domestic : Value of preference & loan stock : £m                  ","Africa Inward Disposals Value :£m                                       ","Africa Outward Acquisitions Value :£m                                   ","M&A : Domestic : Number of companies acquired                           ","Africa Outward Acquisitions Number                                      ","Europe Total Inward Disposals Value: £m                                 ","Europe Total Outward Acquisitions Value :£m                             ","Europe Total Outward Acquisitions Number                                ","Europe Total Outward Disposals Value :£m                                ","Europe Total Outward Disposals Number                                   ","Other Europe Inward Acquisitions Value :£m                              ","Other Europe Inward Acquisitions Number                                 ","Other Europe Inward Disposals Number                                    ","Europe Total Inward Acquisitions Number                                 ","Europe Total Inward Disposals Number                                    ","Europe Total Inward Acquisitions Value: £m                              ","Other Americas Inward Disposals Value :£m                               ","Other Americas Outward Acquisitions Value :£m                           ","Other Americas Outward Acquisitions Number                              ","Other Americas Outward Disposals Value :£m                              ","Other Americas Outward Disposals Number                                 ","Americas Total Inward Acquisitions Value :£m                            ","Americas Total Inward Acquisitions Number                               ","Americas Total Inward Disposals Number                                  ","M&A : Domestic : Total expenditure - (Initial plus deferred payments) : £m","M&A : Inward : Value of disposals - indirect funded locally : Annual : £m","M&A : Inward : Number of disposals - indirect funded locally : Annual   ","M&A : Inward : Value of disposals - indirect by overseas parent : Annual : £m","Other Europe Outward Acquisitions Number                                ","M&A : Inward : Number of disposals - indirect by overseas parent : Annual","Other Europe Inward Disposals Value :£m                                 ","M&A : Inward : Value of disposals - direct transactions : Annual : £m   ","Other Europe Outward Disposals Number                                   ","M&A : Inward : Number of disposals - direct transactions : Annual       ","M&A : Domestic : M&A of independents : number acquired                  ","Other Europe Outward Acquisitions Value :£m                             ","M&A : Inward : Value of acquisitions - indirect funded locally : Annual : £m","Other Americas Inward Acquisitions Number                               ","M&A : Inward : Number of acquisitions - indirect funded locally : Annual","Other Europe Outward Disposals Value :£m                                ","M&A : Inward : Value of acquisitions - indirect by overseas parent : Annual : £m","Other Americas Inward Disposals Number                                  ","M&A : Domestic : Sales of subsidiaries between groups : number acquired ","Other Americas Inward Acquisitions Value :£m                            ","M&A : Inward : Number of acquisitions - indirect by overseas parent : Annual","M&A : Domestic : Cash expenditure on M&A of independent companies : £m  ","M&A : Domestic : Cash expenditure on M&A of subsidiaries : £m           ","M&A : Domestic : Percentage of M&A in cash                              ","M&A : Domestic : Percentage of M&A in ordinary shares                   ","M&A : Domestic : Percentage of M&A in fixed interest securities         ","M&A : Outward : Value of acquisitions in USA : Annual : £m              ","Asia Outward Acquisitions Value :£m                                     ","M&A : Outward : Number of acquisitions in USA : Annual                  ","Asia Outward Acquisitions Number                                        ","Asia Ouward Disposals Value :£m                                         ","Asia Outward Disposals Number                                           ","Australasia & Oceania Inward Acquisitions Value :£m                     ","Australasia & Oceania Inward Acquisitions Number                        ","M&A : Outward : Value of acquisitions in EU : Annual : £m               ","Australasia & Oceania Inward Disposals Number                           ","M&A : Outward : Number of acquisitions in EU : Annual                   ","M&A : Inward : Number of disposals                                      ","M&A : Inward : Number of acquisitions                                   ","M&A : Outward : Number of disposals                                     ","M&A : Outward : Number of acquisitions                                  ","Australasia & Oceania Outward Acquisitions Number                       ","Australasia & Oceania Inward Disposals Value :£m                        ","M&A : Outward : Number of disposals - indirect funded in UK : Annual    ","Americas Total Outward Acquisitions Number                              ","M&A : Outward : Value of disposals - direct transactions : Annual : £m  ","Americas Total Inward Disposals Value :£m                               ","M&A : Outward : Number of disposals - direct transactions : Annual      ","Americas Total Outward Disposals Number                                 ","Americas Total Outward Acquisitions Value :£m                           ","Asia Inward Acquisitions Number                                         ","Americas Total Outward Disposals Value :£m                              ","Asia Inward Disposals Number                                            ","Asia Inward Acquisitions Value :£m                                      ","M&A : Outward : Value of acquisitions - indirect funded locally : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded locally : Annual","M&A : Outward : Value of acquisitions - indirect funded in UK : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded in UK : Annual ","M&A : Outward : Value of acquisitions - direct transactions : Annual : £m","M&A : Outward : Number of acquisitions - direct transactions : Annual   ","M&A : Outward : Value of disposals : £m                                 ","M&A : Outward : Value of disposals in USA : Annual : £m                 ","M&A : Outward : Number of disposals in USA : Annual                     ","M&A : Outward : Value of disposals in EU : Annual : £m                  ","M&A : Outward : Number of disposals in EU : Annual                      ","M&A : Outward : Value of acquisitions : £m                              ","Asia Inward Disposals Value :£m                                         "
"1973","","","","","","","","","","","","","","","","","","","","","","","","","","466","147","","","1205","","","","","","","","","","","","","","","","","","","","","1304","","","","","","","","","","951","","","","","","","","254","","","473","218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974","","","","","","","","","","","","","","","","","","","","","","","","","","114","47","","","504","","","","","","","","","","","","","","","","","","","","","508","","","","","","","","","","367","","","","","","","","137","","","284","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975","","","","","","","","","","","","","","","","","","","","","","","","","","93","25","","","315","","","","","","","","","","","","","","","","","","","","","291","","","","","","","","","","200","","","","","","","","115","","","113","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976","","","","","","","","","","","","","","","","","","","","","","","","","","120","7","","","353","","","","","","","","","","","","","","","","","","","","","448","","","","","","","","","","242","","","","","","","","111","","","240","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977","","","","","","","","","","","","","","","","","","","","","","","","","","304","8","","","481","","","","","","","","","","","","","","","","","","","","","824","","","","","","","","","","372","","","","","","","","109","","","433","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","","","","","","","","","","","","","","","","","","","","","","","","","463","23","","","567","","","","","","","","","","","","","","","","","","","","","1140","","","","","","","","","","441","","","","","","","","126","","","505","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979","","","","","","","","","","","","","","","","","","","","","","","","","","515","208","","","534","","","","","","","","","","","","","","","","","","","","","1656","","","","","","","","","","417","","","","","","","","117","","","780","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980","","","","","","","","","","","","","","","","","","","","","","","","","","669","46","","","469","","","","","","","","","","","","","","","","","","","","","1475","","","","","","","","","","368","","","","","","","","101","","","623","137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1981","","","","","","","","","","","","","","","","","","","","","","","","","","338","31","","","452","","","","","","","","","","","","","","","","","","","","","1144","","","","","","","","","","327","","","","","","","","125","","","545","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1982","","","","","","","","","","","","","","","","","","","","","","","","","","701","222","","","463","","","","","","","","","","","","","","","","","","","","","2206","","","","","","","","","","299","","","","","","","","164","","","641","642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1983","","","","","","","","","","","","","","","","","","","","","","","","","","1261","56","","","447","","","","","","","","","","","","","","","","","","","","","2343","","","","","","","","","","305","","","","","","","","142","","","689","337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1984","","","","","","","","","","","","","","","","","","","","","","","","","","1838","690","","","568","","","","","","","","","","","","","","","","","","","","","5474","","","","","","","","","","398","","","","","","","","170","","","2120","826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1985","","","","","","","","","","","","","","","","","","","","","","","","","","3708","525","","","474","","","","","","","","","","","","","","","","","","","","","7090","","","","","","","","","","340","","","","","","","","134","","","2473","384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1986","1077","","42","","","","","","","1552","265","18","1097","14","","","","","","","","","","","","8761","2548","","","842","","","","","","","","","","","","","","","","","","","","","15370","2","1","86","","1","","448","","11","621","","359","","10","","119","","221","","3","1669","2393","","","","","","","","","","","","","","","","54","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1987","1935","0","52","0","1198","898","8","282","3","2701","225","22","979","12","2544","22","160","0","0","0","0","0","0","4667","11871","9974","853","0","0","1528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16539","139","2","0","0","0","0","1059","0","13","1188","0","335","0","7","0","433","0","340","0","3","3192","2519","35","60","5","9141","0","195","0","0","0","0","0","1615","0","124","15","61","118","431","0","0","6","0","1257","0","92","0","0","0","0","0","0","2547","97","3377","61","6136","292","3961","2781","36","613","30","12058","0"
"1988","2301","0","78","0","668","151","7","78","2","5690","872","25","1158","33","1406","38","99","0","0","0","0","0","0","5532","17307","4993","1853","0","0","1499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22839","181","8","0","0","0","0","488","0","9","1123","0","3049","0","11","0","341","0","376","0","15","11572","4421","70","22","8","13729","0","320","0","0","0","0","0","1758","0","179","16","99","112","648","0","0","4","0","2375","0","76","0","0","0","0","0","0","6616","132","4375","124","6310","442","3880","3139","45","172","23","17300","0"
"1989","6196","0","122","0","3017","1802","9","845","4","12130","5475","42","3831","59","649","24","30","0","0","0","0","0","0","5677","21572","3520","1374","0","0","1337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27250","339","2","0","0","0","0","2678","0","15","896","0","1327","0","9","0","4608","0","441","0","41","17049","5307","82","13","5","17544","0","266","0","0","0","0","0","2730","0","283","17","168","134","681","0","0","2","0","2980","0","111","0","0","0","0","0","0","11073","193","4956","111","6593","434","3659","1785","60","494","28","22622","0"
"1990","7006","0","113","0","1200","320","7","8","1","10958","1785","32","3409","53","3008","33","5","0","0","0","0","0","0","2941","5388","1533","393","0","0","779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8329","75","5","8","0","1","0","1118","0","13","437","0","1029","0","23","0","2925","0","342","0","35","3731","2671","77","18","5","7169","0","183","0","0","0","0","0","3943","0","245","19","143","134","586","0","0","3","0","3162","0","101","0","0","0","0","0","0","2521","128","3339","68","7092","433","6175","3986","40","1479","47","12952","0"
"1991","3679","0","120","0","1027","879","7","53","6","6667","1782","39","1749","61","410","19","50","0","0","0","0","0","0","2945","7487","3034","121","0","0","506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10434","539","3","0","0","0","0","488","0","15","292","0","2400","0","23","0","589","0","214","0","10","4482","2796","70","29","1","4043","0","144","0","0","0","0","0","3839","0","208","17","146","157","550","0","0","4","0","1297","0","140","0","0","0","0","0","0","764","97","891","55","8037","461","1757","942","50","398","48","9688","0"
"1992","3157","0","171","0","1407","206","7","601","11","4139","1591","64","1603","96","745","38","33","0","0","0","0","0","0","1833","4108","2122","47","0","0","432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5941","548","13","0","0","0","0","859","0","17","232","0","762","0","38","0","220","0","200","0","15","2028","1744","64","36","1","2139","0","138","0","0","0","0","0","2994","0","272","29","210","219","679","0","0","5","0","2758","0","180","0","0","0","0","0","0","921","67","578","45","5766","578","3536","1158","59","1180","78","7264","0"
"1993","3874","0","204","0","1111","400","26","305","28","5187","2764","128","941","67","1264","35","7","0","0","0","0","0","0","4078","2986","1162","211","0","0","526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7063","295","15","126","0","4","0","689","0","58","337","0","1087","0","45","0","225","0","189","0","19","1799","3891","81","17","3","4683","0","136","0","0","0","0","0","2978","0","206","73","267","221","521","0","0","2","0","3509","0","172","0","0","0","0","0","0","2331","86","911","46","5971","380","4779","2369","70","860","70","9213","0"
"1994","3615","0","132","0","1476","342","12","119","15","5213","2115","93","2312","59","1277","26","522","0","0","0","0","0","0","2526","5743","2823","144","0","0","674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8269","692","12","105","0","4","0","679","0","25","465","0","715","0","30","0","883","0","209","0","24","3063","2239","64","34","2","8366","0","114","0","0","0","0","0","5012","0","175","38","202","149","422","0","0","2","0","3934","0","124","0","0","0","0","0","0","5888","70","1423","51","7853","296","5733","2746","39","627","50","15164","0"
"1995","8697","0","96","0","1511","801","6","253","10","12817","4793","64","6697","42","1432","27","366","0","0","0","0","0","0","6953","25647","6617","459","0","0","505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32600","238","7","0","0","0","0","1273","0","16","299","0","1655","0","26","0","2465","0","206","0","27","19802","5722","78","20","2","6979","0","130","0","0","0","0","0","2927","0","127","21","131","117","365","0","0","11","0","4191","0","89","0","0","0","0","0","0","2583","53","4210","68","5174","275","5989","4132","46","1165","44","11967","0"
"1996","4555","0","102","0","1033","265","5","607","9","9513","5824","67","1890","39","1276","35","1034","0","0","0","0","0","0","7394","23348","10926","265","0","0","584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30742","19","4","53","0","1","0","961","0","13","336","0","3138","0","21","0","1820","0","248","0","20","11567","7984","64","36","1","6754","0","108","0","0","0","0","0","3100","0","182","18","133","178","442","0","0","17","0","5497","0","144","0","0","0","0","0","0","2631","64","3764","85","6982","321","7807","5929","52","933","59","13377","0"
"1997","8594","0","146","0","1478","645","11","394","11","15717","9823","106","4084","51","2367","39","1274","0","0","0","0","0","0","4376","22453","15583","323","0","0","506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26829","740","10","156","0","5","0","582","0","16","384","0","4093","0","31","0","3030","0","122","0","27","6851","4072","41","58","1","8928","0","135","0","0","0","0","0","6564","0","183","28","193","176","464","0","0","20","0","3707","0","134","0","0","0","0","0","0","2457","70","2567","81","14152","340","7348","1786","39","2250","76","19176","0"
"1998","21052","0","207","0","3471","1701","19","1623","22","32413","21898","152","5559","60","4800","41","1609","0","0","0","0","0","0","5439","24086","13160","595","0","0","635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29525","184","6","101","0","1","0","3186","0","39","485","0","5368","0","32","0","5991","0","150","0","38","10471","5298","53","45","2","45273","0","165","0","0","0","0","0","5642","0","225","46","252","218","569","0","0","24","0","6405","0","175","0","0","0","0","0","0","3323","88","7923","112","43671","403","12814","3907","52","2779","87","54917","0"
